Designator,Footprint,Quantity,Value,LCSC Part #
4017,N16,1,4017,
C1,CP_Radial_D5.0mm_P2.00mm,1,1 uF,
C2,C_Disc_D7.5mm_W2.5mm_P5.00mm,1,0.01 uF,
"D1, D2, D3, D4, D5, D6, D7, D8, D9",LED_D3.0mm,9,LED,
J1,PinHeader_1x01_P2.54mm_Vertical,1,Conn_01x01_Socket,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Socket,
J3,USB-C-TH_TYPE-C-31-M-33,1,USB_C_Receptacle_PowerOnly_6P,
NE555P,DIP-8_W7.62mm,1,NE555P,
R1 1K,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1KΩ,
R2 470,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,470Ω,
RV1,Potentiometer_Vishay_T93YA_Vertical,1,50kΩ,
